Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well,Project ID,Sample Name,Source Agar Plate Barcode,Destination Plate Name
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,F3,00167,scooby 6,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,G3,00167,scooby 6,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,G3,00167,scooby 6,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,H3,00167,scooby 6,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,H3,00167,scooby 6,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A7,G1,A4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A7,G1,B4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A7,G1,C4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A7,G1,D4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A8,H1,E4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A8,H1,F4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A8,H1,G4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A8,H1,H4,00167,,,
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,A5,00167,scooby 8,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,A5,00167,scooby 8,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,B5,00167,scooby 8,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,B5,00167,scooby 8,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,C5,00167,scooby 8,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,C5,00167,scooby 8,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,D5,00167,scooby 8,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B2,B2,D5,00167,scooby 8,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,E5,00167,scooby 9,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,E5,00167,scooby 9,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,F5,00167,scooby 9,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,F5,00167,scooby 9,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,B3,C2,G5,00167,scooby 9,SDSOURCE-00167-110320231,SDDEST-00167-1
